id,kanji,reading,char,on,kun,strokes
809,並行,へいこう,行,コウ・ギョウ・アン,い.く・ゆ.く・-ゆ.き・-ゆき・-い.き・-いき・おこな.う・おこ.なう,6
810,兵隊,へいたい,兵,ヘイ・ヒョウ,つわもの,7
810,兵隊,へいたい,隊,タイ,,12
811,平野,へいや,平,ヘイ・ビョウ・ヒョウ,たい.ら・たい.らげる・ひら,5
811,平野,へいや,野,ヤ・ショ,の・の-,11
812,別荘,べっそう,別,ベツ,わか.れる・わ.ける,7
812,別荘,べっそう,荘,ソウ・ショウ・チャン,ほうき・おごそ.か,9
815,編集,へんしゅう,編,ヘン,あ.む・-あ.み,15
815,編集,へんしゅう,集,シュウ,あつ.まる・あつ.める・つど.う,12
816,便所,べんじょ,便,ベン・ビン,たよ.り,9
816,便所,べんじょ,所,ショ,ところ・-ところ・どころ・とこ,8
818,望遠鏡,ぼうえんきょう,望,ボウ・モウ,のぞ.む・もち,11
818,望遠鏡,ぼうえんきょう,遠,エン・オン,とお.い,13
818,望遠鏡,ぼうえんきょう,鏡,キョウ・ケイ,かがみ,19
819,方角,ほうがく,方,ホウ,かた・-かた・-がた,4
819,方角,ほうがく,角,カク,かど・つの,7
820,箒,ほうき,箒,ソウ・シュウ,ほうき,14
821,方言,ほうげん,方,ホウ,かた・-かた・-がた,4
821,方言,ほうげん,言,ゲン・ゴン,い.う・こと,7
822,坊さん,ぼうさん,坊,ボウ・ボッ,,7
823,防止,ぼうし,防,ボウ,ふせ.ぐ,7
823,防止,ぼうし,止,シ,と.まる・-ど.まり・と.める・-と.める・-ど.め・とど.める・とど.め・とど.まる・や.める・や.む・-や.む・よ.す・-さ.す・-さ.し,4
824,方針,ほうしん,方,ホウ,かた・-かた・-がた,4
824,方針,ほうしん,針,シン,はり,10
825,法則,ほうそく,法,ホウ・ハッ・ホッ・フラン,のり,8
825,法則,ほうそく,則,ソク,のっと.る・のり・すなわち,9
826,包帯,ほうたい,包,ホウ,つつ.む・くる.む,5
826,包帯,ほうたい,帯,タイ,お.びる・おび,10
827,包丁,ほうちょう,包,ホウ,つつ.む・くる.む,5
827,包丁,ほうちょう,丁,チョウ・テイ・チン・トウ・チ,ひのと,2
828,方程式,ほうていしき,方,ホウ,かた・-かた・-がた,4
828,方程式,ほうていしき,程,テイ,ほど・-ほど,12
828,方程式,ほうていしき,式,シキ,,6
829,防犯,ぼうはん,防,ボウ,ふせ.ぐ,7
829,防犯,ぼうはん,犯,ハン・ボン,おか.す,5
830,方面,ほうめん,方,ホウ,かた・-かた・-がた,4
830,方面,ほうめん,面,メン・ベン,おも・おもて・つら,9
831,坊や,ぼうや,坊,ボウ・ボッ,,7
833,牧場,ぼくじょう,牧,ボク,まき,8
833,牧場,ぼくじょう,場,ジョウ・チョウ,ば,12
834,牧畜,ぼくちく,牧,ボク,まき,8
834,牧畜,ぼくちく,畜,チク,,10
835,保健,ほけん,保,ホ・ホウ,たも.つ,9
835,保健,ほけん,健,ケン,すこ.やか,11
836,募集,ぼしゅう,募,ボ,つの.る,12
836,募集,ぼしゅう,集,シュウ,あつ.まる・あつ.める・つど.う,12
838,北極,ほっきょく,北,ホク,きた,5
838,北極,ほっきょく,極,キョク・ゴク,きわ.める・きわ.まる・きわ.まり・きわ.み・き.める・-ぎ.め・き.まる,12
839,坊っちゃん,ぼっちゃん,坊,ボウ・ボッ,,7
840,盆,ぼん,盆,ボン,,9
841,盆地,ぼんち,盆,ボン,,9
841,盆地,ぼんち,地,チ・ジ,,6
842,本部,ほんぶ,本,ホン,もと,5
842,本部,ほんぶ,部,ブ,-べ,11
843,枚数,まいすう,枚,マイ・バイ,,8
843,枚数,まいすう,数,スウ・ス・サク・ソク・シュ,かず・かぞ.える・しばしば・せ.める・わずらわ.しい,13
844,毎度,まいど,毎,マイ,ごと・-ごと.に,6
844,毎度,まいど,度,ド・ト・タク,たび・-た.い,9
845,枕,まくら,枕,チン・シン,まくら,8
846,摩擦,まさつ,摩,マ,ま.する・さす.る・す.る,15
