kanji,reading,level,pos,meaning_en
電気,でんき,N5,n,"""electricity"""
電車,でんしゃ,N5,n,"""train"""
電話,でんわ,N5,n,"""telephone call"""
戸,と,N5,n,"""door (esp. Japanese-style)"""
ドア,ドア,N5,n,"""door"""
トイレ,トイレ,N5,n,"""toilet"""
動物,どうぶつ,N5,n,"""animal"""
十日,とおか,N5,n,"""10th day of the month"""
時計,とけい,N5,n,"""clock"""
所,ところ,N5,n,"""place"""
年,とし,N5,n,"""year"""
図書館,としょかん,N5,n,"""library"""
友達,ともだち,N5,n,"""friend"""
土曜日,どようび,N5,n,"""Saturday"""
鳥,とり,N5,n,"""bird"""
鶏肉,とりにく,N5,n,"""chicken meat"""
ナイフ,ナイフ,N5,n,"""knife"""
中,なか,N5,n,"""inside"""
夏,なつ,N5,n,"""summer"""
夏休み,なつやすみ,N5,n,"""summer vacation"""
七つ,ななつ,N5,num,"""seven"""
七日,なのか,N5,n,"""7th day of the month"""
名前,なまえ,N5,n,"""name"""
二,に,N5,num,"""two"""
肉,にく,N5,n,"""flesh"""
西,にし,N5,n,"""west"""
日曜日,にちようび,N5,n,"""Sunday"""
荷物,にもつ,N5,n,"""luggage"""
ニュース,ニュース,N5,n,"""news"""
庭,にわ,N5,n,"""garden"""
ネクタイ,ネクタイ,N5,n,"""tie"""
猫,ねこ,N5,n,"""cat (esp. the domestic cat"
ノート,ノート,N5,n,"""notebook"""
飲み物,のみもの,N5,n,"""drink"""
歯,は,N5,n,"""tooth"""
パーティー,パーティー,N5,n,"""party (social gathering)"""
灰皿,はいざら,N5,n,"""ashtray"""
葉書,はがき,N5,n,"""postcard"""
箱,はこ,N5,n,"""box"""
橋,はし,N5,n,"""bridge"""
箸,はし,N5,n,"""chopsticks"""
バス,バス,N5,n,"""bus"""
バター,バター,N5,n,"""butter"""
二十歳,はたち,N5,n,"""20 years old"""
八,はち,N5,num,"""eight"""
二十日,はつか,N5,n,"""20th day of the month"""
花,はな,N5,n,"""flower"""
鼻,はな,N5,n,"""nose"""
話,はなし,N5,n,"""talk"""
母,はは,N5,n,"""mother"""
春,はる,N5,n,"""spring"""
晴れ,はれ,N5,n,"""clear weather"""
半,はん,N5,n-pref,"""half"""
晩,ばん,N5,n,"""evening"""
パン,パン,N5,n,"""bread"""
ハンカチ,ハンカチ,N5,n,"""handkerchief"""
番号,ばんごう,N5,n,"""number"""
晩御飯,ばんごはん,N5,n,"""dinner"""
東,ひがし,N5,n,"""east"""
飛行機,ひこうき,N5,n,"""airplane"""
左,ひだり,N5,n,"""left"""
人,ひと,N5,n,"""person"""
一つ,ひとつ,N5,num,"""one"""
一月,ひとつき,N5,n,"""one month"""
一人,ひとり,N5,n,"""one person"""
暇,ひま,N5,n,"""spare time"""
百,ひゃく,N5,num,"""hundred"""
病院,びょういん,N5,n,"""hospital"""
病気,びょうき,N5,n,"""illness (usu. excluding minor ailments"
平仮名,ひらがな,N5,n,"""hiragana"""
昼,ひる,N5,n,"""noon"""
昼御飯,ひるごはん,N5,n,"""lunch"""
フィルム,フィルム,N5,n,"""film"""
封筒,ふうとう,N5,n,"""envelope"""
プール,プール,N5,n,"""(swimming) pool"""
フォーク,フォーク,N5,n,"""fork"""
服,ふく,N5,n,"""clothes (esp. Western clothes)"""
二つ,ふたつ,N5,num,"""two"""
豚肉,ぶたにく,N5,n,"""pork"""
二人,ふたり,N5,n,"""two persons"""
二日,ふつか,N5,n,"""2nd day of the month"""
冬,ふゆ,N5,n,"""winter"""
文章,ぶんしょう,N5,n,"""writing"""
ベッド,ベッド,N5,n,"""bed"""
ペット,ペット,N5,n,"""pet"""
部屋,へや,N5,n,"""room"""
辺,へん,N5,n,"""area"""
ペン,ペン,N5,n,"""pen"""
帽子,ぼうし,N5,n,"""hat"""
ボールペン,ボールペン,N5,n,"""ball-point pen"""
外,ほか,N5,n,"""another place"""
ポケット,ポケット,N5,n,"""pocket"""
ポスト,ポスト,N5,n,"""postbox"""
ホテル,ホテル,N5,n,"""hotel"""
本,ほん,N5,n,"""book"""
本棚,ほんだな,N5,n,"""bookshelves"""
本当,ほんとう,N5,n,"""truth"""
毎朝,まいあさ,N5,n,"""every morning"""
毎週,まいしゅう,N5,n,"""every week"""
毎日,まいにち,N5,n,"""every day"""
毎晩,まいばん,N5,n,"""every night"""
前,まえ,N5,n,"""in front (of)"""
町,まち,N5,n,"""town"""
マッチ,マッチ,N5,n,"""match (contest)"""
窓,まど,N5,n,"""window"""
万,まん,N5,num,"""10"
万年筆,まんねんひつ,N5,n,"""fountain pen"""
右,みぎ,N5,n,"""right"""
水,みず,N5,n,"""water (esp. cool or cold)"""
店,みせ,N5,n,"""store"""
道,みち,N5,n,"""road"""
三日,みっか,N5,n,"""3rd day of the month"""
三つ,みっつ,N5,num,"""three"""
緑,みどり,N5,n,"""green"""
皆さん,みなさん,N5,n,"""all"""
南,みなみ,N5,n,"""south"""
耳,みみ,N5,n,"""ear"""
六日,むいか,N5,n,"""6th day of the month"""
向こう,むこう,N5,n,"""opposite side"""
六つ,むっつ,N5,num,"""six"""
村,むら,N5,n,"""village"""
目,め,N5,n,"""eye"""
眼鏡,めがね,N5,n,"""glasses"""
木曜日,もくようび,N5,n,"""Thursday"""
物,もの,N5,n,"""thing"""
門,もん,N5,n,"""gate"""
問題,もんだい,N5,n,"""question (e.g. on a test)"""
八百屋,やおや,N5,n,"""greengrocer"""
野菜,やさい,N5,n,"""vegetable"""
休み,やすみ,N5,n,"""rest"""
八つ,やっつ,N5,num,"""eight"""
山,やま,N5,n,"""mountain"""
夕方,ゆうがた,N5,n,"""early evening (usu. from 3pm to 6pm)"""
夕飯,ゆうはん,N5,n,"""evening meal"""
郵便局,ゆうびんきょく,N5,n,"""post office"""
昨夜,ゆうべ,N5,n,"""last night"""
雪,ゆき,N5,n,"""snow"""
八日,ようか,N5,n,"""8th day of the month"""
洋服,ようふく,N5,n,"""Western-style clothes (cf. traditional Japanese clothes)"""
横,よこ,N5,n,"""horizontal (as opposed to vertical)"""
四日,よっか,N5,n,"""4th day of the month"""
四つ,よっつ,N5,num,"""four"""
夜,よる,N5,n,"""night"""
来月,らいげつ,N5,n,"""next month"""
来週,らいしゅう,N5,n,"""next week"""
来年,らいねん,N5,n,"""next year"""
ラジオ,ラジオ,N5,n,"""radio"""
留学生,りゅうがくせい,N5,n,"""overseas student"""
両親,りょうしん,N5,n,"""parents"""
料理,りょうり,N5,n,"""cooking"""
旅行,りょこう,N5,n,"""travel"""
零,れい,N5,n,"""zero"""
冷蔵庫,れいぞうこ,N5,n,"""refrigerator"""
レコード,レコード,N5,n,"""record (e.g. LP)"""
レストラン,レストラン,N5,n,"""restaurant (esp. Western-style)"""
廊下,ろうか,N5,n,"""corridor"""
六,ろく,N5,num,"""six"""
